id,price,price_k,population,population_m,income,income_k
顺义区,40444,40.444,116.9,1.169,36575,36.575
昌平区,41395,41.395,210.8,2.108,45399,45.399
朝阳区,72139,72.139,360.5,3.605,70746,70.746
大兴区,41720,41.72,179.6,1.796,43464,43.464
房山区,28608,28.608,118.8,1.188,39391,39.391
丰台区,59185,59.185,210.5,2.105,60144,60.144
海淀区,88242,88.242,335.8,3.358,78178,78.178
怀柔区,31580,31.58,41.4,0.414,36797,36.797
门头沟区,37878,37.878,33.1,0.331,49298,49.298
平谷区,24428,24.428,45.6,0.456,36012,36.012
石景山区,49889,49.889,59,0.59,71244,71.244
通州区,46757,46.757,157.8,1.578,40553,40.553
密云县,24625,24.625,49.5,0.495,34951,34.951
延庆县,22788,22.788,34.8,0.348,33887,33.887
东城区,98122,98.122,82.2,0.822,75547,75.547
西城区,120524,120.524,117.9,1.179,75547,75.547
